Username	FIRSTNAME	LASTNAME	EMAIL	DSK	create_date
ttt_anonymous_004	anonymous 04	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_005	anonymous 05	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_006	anonymous 06	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
bbstaff004	bbstaff004	bbstaff004		university_ADFS	2018-05-23 10:59:17.0
bbstaff005	bbstaff005	bbstaff005		university_ADFS	2018-05-23 10:59:34.0
bbstaff009	bbstaff009	bbstaff009		university_ADFS	2018-05-23 11:00:40.0
14000005d	14000005d	14000005d		university_ADFS	2018-06-08 14:52:25.0
ttt_anonymous_007	anonymous 07	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_008	anonymous 08	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_009	anonymous 09	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_010	anonymous 10	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_011	anonymous 11	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_012	anonymous 12	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_013	anonymous 13	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_014	anonymous 14	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_015	anonymous 15	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_016	anonymous 16	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_017	anonymous 17	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_018	anonymous 18	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_019	anonymous 19	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_020	anonymous 20	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
ttt_anonymous_021	anonymous 21	KKK	anonymous.KKK@university.edu.hk	university_ADFS	2018-05-21 11:02:41.0
